               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,             0.03558,           0.0076758,                   0,             0.85241,               0.875,             0.89745,             0.31604,            0.035884,            0.011268,                   0,             0.00619,             0.00619,             0.00619
                 129,            0.057979,            0.011547,                   0,              0.8736,             0.86449,             0.90619,             0.33463,            0.029841,            0.011511,                   0,             0.00616,             0.00616,             0.00616
                 130,            0.037881,           0.0079604,                   0,              0.8736,             0.86449,             0.90619,             0.33463,            0.029841,            0.011511,                   0,             0.00613,             0.00613,             0.00613
                 131,            0.034723,           0.0098318,                   0,              0.7668,               0.875,             0.82598,             0.29197,            0.035561,             0.01146,                   0,              0.0061,              0.0061,              0.0061
                 132,            0.073258,           0.0095482,                   0,              0.7668,               0.875,             0.82598,             0.29197,            0.035561,             0.01146,                   0,             0.00607,             0.00607,             0.00607
                 133,            0.055961,            0.011364,                   0,             0.85973,               0.875,             0.94065,              0.3233,            0.032022,            0.011815,                   0,             0.00604,             0.00604,             0.00604
                 134,            0.037119,           0.0097879,                   0,             0.85973,               0.875,             0.94065,              0.3233,            0.032022,            0.011815,                   0,             0.00601,             0.00601,             0.00601
                 135,            0.056322,           0.0098639,                   0,             0.87288,             0.85907,             0.86545,             0.27062,             0.03282,            0.011705,                   0,             0.00598,             0.00598,             0.00598
                 136,            0.034433,           0.0085938,                   0,             0.87288,             0.85907,             0.86545,             0.27062,             0.03282,            0.011705,                   0,             0.00595,             0.00595,             0.00595
                 137,            0.053883,             0.00775,                   0,             0.84674,              0.8125,             0.87653,             0.34246,            0.032858,            0.011446,                   0,             0.00592,             0.00592,             0.00592
                 138,            0.080313,            0.011759,                   0,             0.84674,              0.8125,             0.87653,             0.34246,            0.032858,            0.011446,                   0,             0.00589,             0.00589,             0.00589
                 139,            0.075772,            0.011447,                   0,             0.81754,               0.875,             0.91473,             0.29923,            0.034253,            0.011446,                   0,             0.00586,             0.00586,             0.00586
                 140,            0.059091,            0.010537,                   0,             0.81754,               0.875,             0.91473,             0.29923,            0.034253,            0.011446,                   0,             0.00583,             0.00583,             0.00583
                 141,            0.033774,           0.0094349,                   0,             0.78128,                0.75,             0.74365,             0.23025,            0.036914,            0.011063,                   0,              0.0058,              0.0058,              0.0058
                 142,             0.03762,           0.0094447,                   0,             0.78128,                0.75,             0.74365,             0.23025,            0.036914,            0.011063,                   0,             0.00577,             0.00577,             0.00577
                 143,            0.057467,            0.010225,                   0,             0.87578,               0.875,             0.91004,             0.33612,            0.033818,            0.011071,                   0,             0.00574,             0.00574,             0.00574
                 144,            0.035767,            0.010626,                   0,             0.87578,               0.875,             0.91004,             0.33612,            0.033818,            0.011071,                   0,             0.00571,             0.00571,             0.00571
                 145,            0.052054,            0.011511,                   0,             0.86089,               0.875,             0.89037,             0.21459,            0.036858,            0.011475,                   0,             0.00568,             0.00568,             0.00568
                 146,            0.073988,            0.010334,                   0,             0.86089,               0.875,             0.89037,             0.21459,            0.036858,            0.011475,                   0,             0.00565,             0.00565,             0.00565
                 147,            0.053502,           0.0071916,                   0,             0.86896,               0.875,             0.91782,             0.26406,            0.033302,             0.01142,                   0,             0.00562,             0.00562,             0.00562
                 148,            0.034847,            0.011364,                   0,             0.86896,               0.875,             0.91782,             0.26406,            0.033302,             0.01142,                   0,             0.00559,             0.00559,             0.00559
                 149,            0.055244,           0.0075233,                   0,             0.80186,              0.8125,              0.8095,             0.30307,            0.032277,            0.011341,                   0,             0.00556,             0.00556,             0.00556
                 150,            0.057462,           0.0088598,                   0,             0.80186,              0.8125,              0.8095,             0.30307,            0.032277,            0.011341,                   0,             0.00553,             0.00553,             0.00553
                 151,            0.037451,           0.0093337,                   0,             0.79905,              0.8125,             0.82253,             0.28173,            0.032908,            0.011113,                   0,              0.0055,              0.0055,              0.0055
                 152,              0.0601,            0.010219,                   0,             0.79905,              0.8125,             0.82253,             0.28173,            0.032908,            0.011113,                   0,             0.00547,             0.00547,             0.00547
                 153,            0.033579,            0.010232,                   0,             0.79768,              0.8125,             0.77953,              0.2623,            0.031841,            0.010945,                   0,             0.00544,             0.00544,             0.00544
                 154,            0.064911,           0.0076423,                   0,             0.79768,              0.8125,             0.77953,              0.2623,            0.031841,            0.010945,                   0,             0.00541,             0.00541,             0.00541
                 155,            0.087639,           0.0092112,                   0,             0.84693,              0.8125,             0.83346,             0.30162,            0.032976,              0.0108,                   0,             0.00538,             0.00538,             0.00538
                 156,             0.03755,           0.0097858,                   0,             0.84693,              0.8125,             0.83346,             0.30162,            0.032976,              0.0108,                   0,             0.00535,             0.00535,             0.00535
                 157,            0.039655,           0.0093135,                   0,             0.85856,               0.875,             0.86706,             0.30235,            0.031944,            0.010978,                   0,             0.00532,             0.00532,             0.00532
                 158,            0.036871,            0.009473,                   0,             0.85856,               0.875,             0.86706,             0.30235,            0.031944,            0.010978,                   0,             0.00529,             0.00529,             0.00529
                 159,            0.076019,           0.0094431,                   0,             0.86306,               0.875,             0.89473,             0.36158,            0.031784,            0.011373,                   0,             0.00526,             0.00526,             0.00526
                 160,            0.034449,           0.0087866,                   0,             0.86306,               0.875,             0.89473,             0.36158,            0.031784,            0.011373,                   0,             0.00523,             0.00523,             0.00523
                 161,            0.072921,           0.0090982,                   0,               0.798,              0.8125,             0.85797,             0.33479,            0.029879,            0.011429,                   0,              0.0052,              0.0052,              0.0052
                 162,            0.034022,           0.0095371,                   0,               0.798,              0.8125,             0.85797,             0.33479,            0.029879,            0.011429,                   0,             0.00517,             0.00517,             0.00517
                 163,            0.034917,           0.0080796,                   0,             0.91361,               0.875,             0.92036,             0.36723,            0.032535,            0.011423,                   0,             0.00514,             0.00514,             0.00514
                 164,              0.0367,           0.0095774,                   0,             0.91361,               0.875,             0.92036,             0.36723,            0.032535,            0.011423,                   0,             0.00511,             0.00511,             0.00511
                 165,             0.05563,             0.01096,                   0,             0.91711,               0.875,             0.91581,             0.37253,             0.03246,            0.011442,                   0,             0.00508,             0.00508,             0.00508
                 166,            0.053838,           0.0093523,                   0,             0.91711,               0.875,             0.91581,             0.37253,             0.03246,            0.011442,                   0,             0.00505,             0.00505,             0.00505
                 167,             0.05178,             0.01077,                   0,             0.91628,               0.875,             0.91869,             0.37066,            0.030452,            0.011492,                   0,             0.00502,             0.00502,             0.00502
                 168,            0.033243,            0.010046,                   0,             0.91628,               0.875,             0.91869,             0.37066,            0.030452,            0.011492,                   0,             0.00499,             0.00499,             0.00499
                 169,            0.071036,           0.0094005,                   0,             0.91246,               0.875,             0.92252,             0.36426,            0.030484,            0.011483,                   0,             0.00496,             0.00496,             0.00496
